Time, Finish
18,15,10,16,2.88,2.25
12,10,18,9,1.84,1.75
13,5,7,11,3.14,3
19,15,3,16,4.44,4.25
1,12,19,8,6.02,5.5
19,4,3,2,5.74,4.5
15,10,13,6,4.72,1.5
8,13,3,6,3.66,3
12,6,7,2,3.16,2.25
7,14,2,10,2.88,2.25
0,10,16,3,6,5.75
10,9,8,5,2.14,1.5
2,17,7,18,2.1,1.5
7,6,14,6,2.400001,1.75
15,11,18,4,3.139999,2.5
4,13,8,12,1.32,1.25
17,13,2,2,9.439999,6.5
13,2,19,16,5.78,5
19,10,11,8,3.94,2.5
19,2,2,10,9.22,6.25
12,4,5,6,2.880001,2.25
19,3,13,15,5.26,4.5
8,1,13,2,2.1,1.5
18,18,9,17,2.620001,2.5
1,8,16,3,5.499998,5
10,14,11,3,5.76,3
18,3,19,6,1.58,1
10,8,1,10,3.4,2.75
8,17,8,10,1.84,1.75
5,17,4,10,2.1,2
9,6,19,9,6.059999,3.25
0,5,12,13,7.1,5
6,3,15,10,7.359999,4
12,11,7,15,2.92,2.25
18,7,10,9,2.620001,2.5
12,10,3,18,4.960001,4.25
18,5,3,9,5.800001,4.75
5,9,4,9,0.2799988,0.25
1,16,8,1,5.739998,5.5
3,17,16,10,5.74,5
2,1,1,8,2.100002,2
2,18,10,17,3.420002,2.25
16,15,14,19,1.579998,1.5
16,6,2,0,5.779999,5
19,14,15,8,3.66,2.5
3,12,1,3,3.400002,2.75
7,17,19,2,8.4,6.75
17,15,7,15,2.620003,2.5
14,16,2,14,3.66,3.5
6,13,6,0,3.400002,3.25
1,19,15,5,8.339996,7
15,2,18,1,1.059998,1
15,4,16,17,4.18,3.5
7,17,0,11,3.400002,3.25
6,11,19,3,8.66,5.25
6,0,1,8,5.259998,3.25
17,11,6,17,4.719997,4.25
12,6,15,4,1.32,1.25
3,14,17,0,8.639999,7
3,11,6,10,1.580002,1
0,14,14,19,5.48,4.75
12,19,1,15,3.919998,3.75
10,5,9,9,2.700001,1.25
9,9,16,6,4.48,2.5
10,8,3,4,3.400002,2.75
17,0,16,7,2.099998,2
6,16,19,1,7.82,7
19,19,19,6,3.920002,3.25
8,18,9,11,2.619999,2
9,10,18,0,4.959999,4.75
7,13,8,6,2.619999,2
19,12,16,8,2.360001,1.75
10,7,15,11,2.879997,2.25
3,10,8,5,4.720001,2.5
7,7,19,19,6.540001,6
7,5,1,15,4.18,4
19,19,18,13,3.940002,1.75
14,13,8,5,6.439999,3.5
1,14,9,3,7.860001,4.75
8,4,15,14,5.68,4.25
4,2,11,8,3.399998,3.25
7,18,4,0,6.279999,5.25
18,15,8,18,5.880001,3.25
7,12,11,19,3.699997,2.75
1,17,7,16,2.360001,1.75
12,11,1,13,5.779999,3.25
10,11,2,4,3.919998,3.75
19,19,2,19,5.519997,4.25
9,18,15,15,3.160004,2.25
12,5,18,10,3.400002,2.75
15,10,3,6,5.220001,4
8,19,15,18,5.540005,2
5,13,5,11,1.580002,0.5
3,3,9,10,3.68,3.25
8,0,11,13,4.179993,4
17,0,12,5,4.720001,2.5
18,17,6,5,7.099998,6
18,18,12,12,3.139999,3
11,10,19,11,2.360001,2.25
17,1,3,11,7.100006,6
2,0,7,6,5.82,2.75
0,1,10,15,7.860001,6
11,12,9,14,1.059998,1
19,3,18,14,3.659996,3
9,15,2,7,3.920006,3.75
11,11,16,3,3.919998,3.25
3,17,12,15,3.400002,2.75
18,0,7,5,4.700005,4
11,2,17,12,4.739998,4
1,3,16,13,7.32,6.25
14,10,6,14,6.279999,3
7,13,13,0,6.32,4.75
1,16,14,5,7.68,6
17,0,2,19,10.96,8.5
16,4,2,18,8.620003,7
1,19,2,8,3.660004,3
17,16,10,0,7.919998,5.75
3,18,7,15,3.699997,1.75
16,15,16,3,3.139999,3
16,18,12,1,8.919998,5.25
14,8,2,0,5.220001,5
5,13,19,2,7.040001,6.25
15,12,13,5,2.880005,2.25
10,9,7,8,1.580002,1
4,1,2,1,0.5399933,0.5
18,6,6,17,7.360001,5.75
9,15,11,9,3.139999,2
4,10,9,13,2.099998,2
5,15,1,17,1.580002,1.5
17,1,13,6,2.360001,2.25
11,11,11,5,2.899994,1.5
17,14,6,9,4.700005,4
5,5,2,2,3.68,1.5
3,8,10,1,3.659996,3.5
4,18,17,10,7.580002,5.25
1,14,19,18,6.799995,5.5
5,12,18,1,6.539993,6
8,7,17,3,4.480003,3.25
13,10,4,9,5.800003,2.5
6,0,15,17,7.339996,6.5
10,10,2,16,4.699997,3.5
13,1,3,9,11,4.5
2,4,5,9,5.779999,2
3,8,9,17,4.479996,3.75
18,10,8,12,4.18,3
13,18,3,6,9.520004,5.5
8,8,11,1,3.139999,2.5
1,1,6,7,3.400002,2.75
11,3,11,10,1.840004,1.75
2,9,1,19,2.879997,2.75
19,1,18,6,4.480003,1.5
7,9,13,16,3.959999,3.25
17,13,0,15,4.959999,4.75
17,6,16,9,2.459999,1
8,19,15,18,3.440002,2
11,14,2,7,4.699997,4
9,8,7,7,1.879997,0.75
16,1,14,1,0.5400009,0.5
15,15,7,13,2.619995,2.5
15,10,0,0,7.040001,6.25
3,19,18,18,5.260002,4
13,1,1,10,5.759995,5.25
13,18,19,17,2.360001,1.75
16,9,4,16,5.480003,4.75
12,17,14,13,1.580002,1.5
9,13,14,8,3.139999,2.5
19,13,18,3,2.880005,2.75
19,19,18,18,0.5400009,0.5
9,4,4,18,5.479996,4.75
11,11,14,7,2.360001,1.75
7,3,0,9,3.399994,3.25
14,9,5,0,5.219994,4.5
11,8,9,8,1.860001,0.5
11,5,0,18,6.779999,6
9,11,7,14,1.32,1.25
6,8,19,4,5.5,4.25
5,7,1,16,3.400002,3.25
11,7,16,13,3.400002,2.75
14,4,11,10,6.040001,2.25
5,13,8,11,1.839996,1.25
14,7,6,15,4.18,4
14,4,18,16,4.18,4
6,10,9,5,4.719994,2
9,17,1,2,7.360001,5.75
19,13,9,15,3.139999,3
5,14,7,6,2.900009,2.5
8,4,17,3,3.139999,2.5
17,6,7,0,7.119995,4
8,11,16,0,4.959999,4.75
16,19,14,17,1.059998,1
7,8,3,15,3.440002,2.75
14,8,7,19,5.780006,4.5
2,12,18,2,7.060005,6.5
18,1,14,18,6.280006,5.25
12,11,10,12,1.319992,0.75
16,5,7,18,8.440002,5.5
0,17,15,10,5.73999,5.5
11,0,4,18,9.700005,6.25
9,17,12,19,1.840012,1.25
2,11,19,7,6.839996,5.25
4,19,18,7,6.779999,6.5
5,7,13,12,3.680008,3.25
12,12,16,9,1.839996,1.75
15,12,12,11,2.139999,1
15,6,4,4,3.920013,3.25
11,15,8,3,3.919998,3.75
13,0,18,11,6.040009,4
16,4,13,9,2.619995,2
1,17,15,13,8.400009,4.5
0,9,4,6,1.839996,1.75
18,16,8,14,3.700012,3
18,14,2,4,7.340012,6.5
4,16,1,4,5.5,3.75
16,6,15,12,2.639999,1.75
3,5,11,4,4.980011,2.25
6,12,18,7,5.279999,4.25
13,6,0,12,5.76001,4.75
17,4,17,17,3.399994,3.25
19,18,17,3,9.720001,4.25
9,1,17,12,5.240005,4.75
17,19,3,11,5.740005,5.5
11,15,7,10,2.880005,2.25
16,11,14,8,1.319992,1.25
7,1,11,16,4.960007,4.75
15,6,15,1,2.399994,1.25
18,19,11,18,2.619995,2
2,14,12,3,6.540009,5.25
2,6,11,3,3.660004,3
15,3,2,18,7.820007,7
16,17,11,15,1.840012,1.75
15,17,6,0,6.779999,6.5
19,14,14,6,3.919998,3.25
8,17,0,4,5.76001,5.25
14,0,5,13,6.820007,5.5
17,0,11,4,3.100006,2.5
18,1,1,1,5,4.25
0,0,18,2,6.340012,5
0,2,8,17,6.800003,5.75
18,5,17,9,1.320007,1.25
7,8,14,15,4.180008,3.5
0,5,9,15,5.479996,4.75
12,2,12,2,0,0
10,1,14,6,3.159988,2.25
12,4,18,3,2.399994,1.75
10,1,15,3,3.419998,1.75
6,2,5,3,1.059998,0.5
14,5,0,8,5.520004,4.25
14,18,6,9,5.779999,4.25
0,17,11,7,6,5.25
14,14,7,2,5.479996,4.75
2,14,10,11,3.160004,2.75
